VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
띠미_ddimmi_20250722,6,빛나는 초콜릿 몰드! 마지막으로 댓글 대로 싹 다 해보면 어떻게 될까?,,띠미 ddimmi,2025-07-22,PT34S,774465,11312,107,youtube
띠미_ddimmi_20250721,21,지금 난리난 일본 장어덮밥버거 한국에서 먹는법,,띠미 ddimmi,2025-07-21,PT35S,252915,3273,34,youtube
띠미_ddimmi_20250717,15,과일과 젤리에 탄산을 넣으면 어떻게 될까? #제품제공,#제품제공,띠미 ddimmi,2025-07-17,PT48S,263216,6445,40,youtube
띠미_ddimmi_20250711,24,최고급 재료로 만든 김치찜! 최고 맛집 이길 수 있을까?,,띠미 ddimmi,2025-07-11,PT57S,516793,8519,43,youtube
띠미_ddimmi_20250709,1,요즘 유행하는 AI 용암 먹방 맛있게 먹는 유일한 방법,,띠미 ddimmi,2025-07-09,PT49S,2068527,38779,210,youtube
띠미_ddimmi_20250707,81,요즘 유행하는 비싼 성게알을 가장 맛있게 먹는 법 ​⁠@edmmer,,띠미 ddimmi,2025-07-07,PT48S,194243,3511,39,youtube
띠미_ddimmi_20250706,14,떡볶이로 국수면을 만들면 어떻게 될까?,,띠미 ddimmi,2025-07-06,PT50S,1245628,17787,57,youtube
띠미_ddimmi_20250702,74,130만 유튜버 수빙수님의 쌈장게장! 과연 맛있을까? @soobingsootv,,띠미 ddimmi,2025-07-02,PT47S,564820,9453,42,youtube
띠미_ddimmi_20250630,24,부산 택시 타자마자 “맛집으로 가주세요” 하면 생기는 일,,띠미 ddimmi,2025-06-30,PT58S,1597971,24777,188,youtube
띠미_ddimmi_20250627,28,(초긴급) 쫀득쿠키 500인분 다 가져가실 분 구합니다🚨,,띠미 ddimmi,2025-06-27,PT56S,357461,7201,356,youtube
띠미_ddimmi_20250625,56,시식코너 삼겹살의 비밀 양파가루를 이기는 마법의 가루를 찾았다!,,띠미 ddimmi,2025-06-25,PT39S,188546,2903,29,youtube
띠미_ddimmi_20250624,5,대환장 도쿄 16만원 메론케이크! 과연 맛은 어떨까?,,띠미 ddimmi,2025-06-24,PT1M45S,635464,12931,200,youtube
띠미_ddimmi_20250621,78,아침 8시 오픈런 메가커피 팥빙젤라또파르페 과연 먹을만한가..?,,띠미 ddimmi,2025-06-21,PT1M,1091012,14231,105,youtube
띠미_ddimmi_20250620,81,전남친 알리오올리오가 맛있었던 이유,,띠미 ddimmi,2025-06-20,PT49S,146843,3567,65,youtube
띠미_ddimmi_20250619,353,품절대란 팥빙프라페까지? 먹천재의 뷔페 본전 미친 꿀팁 공개🔥,,띠미 ddimmi,2025-06-19,PT51S,132721,1862,41,youtube
띠미_ddimmi_20250618,25,지금 해외에서 핫한 제 2의 연어깍두기?!,,띠미 ddimmi,2025-06-18,PT43S,850201,13123,55,youtube
띠미_ddimmi_20250610,28,유럽에서 내 쫀득쿠키를 보러 날 찾아왔다...,,띠미 ddimmi,2025-06-10,PT54S,2745506,43947,86,youtube
띠미_ddimmi_20250608,5,젼언니님이 보내주신 벽돌초콜릿케이크🧱 @jeon_unni,,띠미 ddimmi,2025-06-08,PT51S,777852,13190,81,youtube
띠미_ddimmi_20250604,26,전국 딱 한 곳에서만 판다는 최고급 교촌치킨 세트를 먹어봤다ㄷㄷ,,띠미 ddimmi,2025-06-04,PT42S,1186378,11665,69,youtube
띠미_ddimmi_20250531,26,악플에 못 이겨 다시 만든 라바치킨(?) @해봄,,띠미 ddimmi,2025-05-31,PT47S,800301,12223,418,youtube
띠미_ddimmi_20250530,30,최강의 신맛 챌린지! 어디까지 먹을 수 있을까?,"#광고 #핵아이셔에이슬 #핵아이셔에이슬챌린지 #신맛챌린지 #핵아이셔 #아이셔에이슬  핵아이셔와 컬래버한 화제의 한정판 소주, 핵아이셔에이슬이 나왔어요!  핵아이셔에이슬 신맛 챌린지에 도전해봤는데 극강의 상큼한 맛이 침샘폭발이에요! 😆  전국 주요 영업점 및 편의점, 대형마트 등에서 구매할 수 있대요! 한정판이니까 빨리 구매해보세요!",띠미 ddimmi,2025-05-30,PT45S,246275,3785,69,youtube
띠미_ddimmi_20250529,28,(긴급) 쫀득쿠키 600개 가져가실 분 구합니다🚨,,띠미 ddimmi,2025-05-29,PT55S,1254938,25783,228,youtube
띠미_ddimmi_20250528,25,요즘 유행하는 제2의 연어깍두기 찾았다!,,띠미 ddimmi,2025-05-28,PT50S,631749,8510,67,youtube
